Postcode,Postcode Status,LSOA code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
POSTCODE,**UNMATCHED**,,,,,,,,,,,,,,,,,,,,,,,,,,
NW1 1TA,Live,E01000955,Camden 022D E01000955,6579,3,5633,2,0.218,5797,2,0.159,7439,3,12542,4,5240,2,14832,5,8180,3,7424,3,0.241,5054,2,0.291
NW1 1RG,Live,E01000952,Camden 022A E01000952,6511,2,4990,2,0.23,6034,2,0.156,12528,4,11582,4,3627,2,12454,4,8173,3,4636,2,0.294,1504,1,0.42
SE2 9PX,Live,E01001579,Greenwich 003E E01001579,4983,2,3663,2,0.258,5625,2,0.161,10519,4,7885,3,6199,2,2624,1,14673,5,2058,1,0.371,6321,2,0.262
E2 8BA,Live,E01001773,Hackney 025E E01001773,4810,2,4823,2,0.233,8591,3,0.129,19421,6,8915,3,2287,1,880,1,4533,2,2423,1,0.357,628,1,0.503
E5 0RB,Live,E01001794,Hackney 011C E01001794,9886,4,12036,4,0.135,18710,6,0.07,24713,8,16042,5,5767,2,1967,1,1343,1,13202,5,0.159,4306,2,0.31
E9 6NR,Live,E01001731,Hackney 017A E01001731,7474,3,9657,3,0.16,12450,4,0.101,19798,7,14479,5,2530,1,633,1,6090,2,8427,3,0.225,2856,1,0.357
N7 8PG,Live,E01002796,Islington 013E E01002796,11641,4,9734,3,0.159,11979,4,0.103,31254,10,11196,4,9088,3,10593,4,5007,2,4473,2,0.298,6643,3,0.255
W10 6EL,Live,E01002905,Kensington and Chelsea 002B E01002905,3154,1,2398,1,0.294,3325,2,0.196,17810,6,14040,5,983,1,2544,1,4479,2,3045,1,0.336,1054,1,0.453
SW12 0AB,Live,E01003157,Lambeth 023C E01003157,20129,7,17298,6,0.094,24875,8,0.049,31243,10,22780,7,10658,4,17887,6,4140,2,15946,5,0.131,5761,2,0.274
SE11 5QY,Live,E01003102,Lambeth 004A E01003102,10233,4,12400,4,0.131,12339,4,0.101,28710,9,14938,5,4453,2,6019,2,1980,1,3189,1,0.332,10392,4,0.194
SE26 4RD,Live,E01003259,Lewisham 028D E01003259,13495,5,11257,4,0.142,16596,6,0.079,25649,8,17922,6,7806,3,7264,3,6100,2,10067,4,0.2,12372,4,0.169
SE1 6EX,Live,E01003930,Southwark 034A E01003930,8533,3,14139,5,0.116,12024,4,0.103,13869,5,11944,4,4646,2,6360,2,1206,1,16260,5,0.128,8712,3,0.219
E14 3DW,Live,E01004217,Tower Hamlets 030C E01004217,12388,4,9317,3,0.164,12248,4,0.102,21861,7,11936,4,8484,3,9574,3,16455,6,11253,4,0.184,4449,2,0.306
E2 0PX,Live,E01004259,Tower Hamlets 007A E01004259,10040,4,9303,3,0.164,14497,5,0.089,24418,8,9731,3,3961,2,8583,3,4726,2,4071,2,0.308,2043,1,0.392
E2 6PR,Live,E01004203,Tower Hamlets 005C E01004203,8880,3,9119,3,0.166,14961,5,0.086,20447,7,9530,3,1884,1,7437,3,5027,2,7797,3,0.235,1852,1,0.401
E1 5DJ,Live,E01004205,Tower Hamlets 013A E01004205,4905,2,3626,2,0.259,5378,2,0.165,10571,4,5942,2,6033,2,6903,3,9129,3,7565,3,0.239,20,1,0.766
W2 5EZ,Live,E01032512,Westminster 010F E01032512,3326,2,1572,1,0.323,1830,1,0.232,14301,5,9990,4,8155,3,10290,4,5383,2,3338,2,0.327,627,1,0.503
IG11 9AG,Live,E01000066,Barking and Dagenham 011A E01000066,10329,4,10725,4,0.147,13108,4,0.097,14926,5,15169,5,20658,7,249,1,16885,6,14705,5,0.143,6256,2,0.263
RM9 4UN,Live,E01000096,Barking and Dagenham 022D E01000096,3997,2,3651,2,0.259,7977,3,0.135,7010,3,15882,5,1816,1,534,1,8823,3,2772,1,0.345,7216,3,0.245
DA5 1NE,Live,E01000447,Bexley 023C E01000447,24076,8,21392,7,0.071,25594,8,0.047,26012,8,26209,8,11787,4,16796,6,12996,4,19364,6,0.101,19144,6,0.107
CR0 5JQ,Live,E01001044,Croydon 023A E01001044,24251,8,22742,7,0.064,28330,9,0.038,31599,10,28309,9,11935,4,7010,3,14696,5,23098,8,0.075,22237,7,0.086
N18 1NB,Live,E01001465,Enfield 031B E01001465,11104,4,10403,4,0.151,14081,5,0.091,10353,4,27345,9,13633,5,1658,1,9838,3,12449,4,0.168,7458,3,0.241
EN2 6QG,Live,E01001536,Enfield 008B E01001536,15451,5,14137,5,0.116,15577,5,0.083,23606,8,24526,8,8468,3,8333,3,7341,3,12701,4,0.165,16317,5,0.129
EN1 1YQ,Live,E01001513,Enfield 012F E01001513,6497,2,4937,2,0.231,7654,3,0.138,10301,4,17345,6,6625,3,1893,1,11563,4,5074,2,0.285,5564,2,0.278
